"Annee","jour","mois","Arneguy","Banca","Iraty","Sare","Urrugne","TotalJ"
2010,10,11,0,0,0,0,0,0
2010,11,11,0,0,0,0,706,706
2011,15,10,1920,1724,0,3865,8550,16059
2011,16,10,20,71,0,183,13,287
2011,17,10,1600,3900,0,784,1064,7348
2011,18,10,86,440,0,51,14,591
2011,19,10,0,13,0,0,0,13
2011,20,10,2050,4150,0,9400,4380,19980
2011,21,10,68902,104579,0,80573,35600,289654
2011,22,10,218,698,0,340,12253,13509
2011,23,10,22,70,0,155,2797,3044
2011,24,10,0,0,0,0,0,0
2011,25,10,0,0,0,40,0,40
2011,26,10,481,2194,0,100,15150,17925
2011,27,10,334,14,0,46,400,794
2011,28,10,0,0,0,0,0,0
2011,29,10,946,2143,0,519,2613,6221
2011,30,10,6966,6755,0,5328,8200,27249
2011,31,10,6065,2500,0,8790,588423,605778
2011,1,11,0,2,0,5,0,7
2011,2,11,0,25,0,6,50,81
2011,3,11,0,0,0,0,0,0
2011,4,11,14436,21216,0,2125,1856,39633
2011,5,11,0,0,0,0,0,0
2011,6,11,0,0,0,0,0,0
2011,7,11,0,0,0,0,0,0
2011,8,11,500,1396,0,83,2,1981
2011,9,11,3318,102725,0,248,62390,168681
2011,10,11,20,93,0,4,5,122
2011,11,11,17498,59676,0,12652,131646,221472
2012,15,10,1340,616,0,1459,144,3559
2012,16,10,346,310,0,24,564,1244
2012,17,10,50,1026,0,94,4198,5368
2012,18,10,195,143200,0,12882,1792,158069
2012,19,10,0,0,0,0,0,0
2012,20,10,0,0,0,0,0,0
2012,21,10,0,0,0,0,0,0
2012,22,10,42899,37341,0,15641,3123,99004
2012,23,10,207643,103494,0,138169,109991,559297
2012,24,10,14048,11510,0,4390,103304,133252
2012,25,10,298,83,0,100,222,703
2012,26,10,0,0,0,0,0,0
2012,27,10,0,0,0,0,0,0
2012,28,10,52210,27535,0,55650,31400,166795
2012,29,10,52916,41713,0,166855,211880,473364
2012,30,10,2878,15548,0,5902,76075,100403
2012,31,10,14385,16300,0,50506,2297,83488
2012,1,11,0,0,0,0,30,30
2012,2,11,0,4,0,0,0,4
2012,3,11,0,47,0,0,52,99
2012,4,11,0,0,0,0,0,0
2012,5,11,0,0,0,0,0,0
2012,6,11,30,3080,0,8330,375,11815
2012,7,11,47555,147650,0,135465,217840,548510
2012,8,11,460,2350,0,10700,90995,104505
2012,9,11,0,0,0,0,0,0
2012,10,11,0,0,0,0,115,115
2012,11,11,0,0,0,0,0,0
2013,15,10,70,30,0,22,115,237
2013,16,10,61,15,0,32,2,110
2013,17,10,3642,1009,0,2779,0,7430
2013,18,10,64,2484,0,3996,41770,48314
2013,19,10,974,881,0,3006,2012,6873
2013,20,10,433,1018,0,204,1765,3420
2013,21,10,336,299,0,20,1619,2274
2013,22,10,45,35,0,17,1,98
2013,23,10,112,174,0,8,32,324
2013,24,10,4362,8981,0,1633,37619,52595
2013,25,10,1032,5984,0,995,500,8511
2013,26,10,7931,13042,0,10461,1355,32789
2013,27,10,378,433,0,11,493,1315
2013,28,10,659,50,0,19,0,728
2013,29,10,500,589,0,101,0,1190
2013,30,10,28976,28305,0,56579,24537,138397
2013,31,10,337714,299935,0,510642,80776,1229067
2013,1,11,5,48,0,22,147,222
2013,2,11,0,0,0,0,0,0
2013,3,11,0,0,0,0,0,0
2013,4,11,0,0,0,0,0,0
2013,5,11,0,0,0,0,0,0
2013,6,11,1320,246,0,0,0,1566
2013,7,11,1407,30447,0,4100,11417,47371
2013,8,11,3976,3956,0,420,0,8352
2013,9,11,960,460,0,59,0,1479
2013,10,11,0,0,0,0,0,0
2013,11,11,0,0,0,0,0,0
2014,15,10,580,24,0,6,246,856
2014,16,10,26,38,0,16,261,341
2014,17,10,448,864,0,819,4085,6216
2014,18,10,4240,11694,0,2269,8821,27024
2014,19,10,27131,30067,0,18122,703,76023
2014,20,10,1133,10360,0,7966,6379,25838
2014,21,10,7010,5043,0,492,12,12557
2014,22,10,23810,10064,0,5941,450,40265
2014,23,10,56640,27030,0,65778,18362,167810
2014,24,10,41430,47349,0,29945,17627,136351
2014,25,10,4700,9710,0,2588,1720,18718
2014,26,10,145845,206487,0,117081,73357,542770
2014,27,10,38413,102726,0,15451,18229,174819
2014,28,10,65,0,0,0,8046,8111
2014,29,10,3350,903,0,245,11465,15963
2014,30,10,2407,9902,0,346,47988,60643
2014,31,10,80,302,0,1924,63671,65977
2014,1,11,1309,20565,0,2573,1125,25572
2014,2,11,95,30,0,0,3,128
2014,3,11,0,0,0,0,0,0
2014,4,11,0,0,0,0,0,0
2014,5,11,0,0,0,0,0,0
2014,6,11,0,20,0,0,0,20
2014,7,11,0,0,0,0,0,0
2014,8,11,10,986,0,2413,7941,11350
2014,9,11,0,0,0,0,0,0
2014,10,11,542,3051,0,255,3441,7289
2014,11,11,0,596,0,440,70,1106
2015,15,10,300,1889,0,5207,3514,10910
2015,16,10,152,3386,0,3835,3368,10741
2015,17,10,2758,9077,0,15710,17727,45272
2015,18,10,19,35,0,2,163,219
2015,19,10,2619,5582,0,1285,1336,10822
2015,20,10,149584,30202,0,4272,172,184230
2015,21,10,1064,4572,0,8075,8899,22610
2015,22,10,60,1831,0,0,1,1892
2015,23,10,60,1066,0,430,1468,3024
2015,24,10,136,1137,0,317,701,2291
2015,25,10,216,11127,0,1721,19455,32519
2015,26,10,89,63,0,5,109807,109964
2015,27,10,120,246,0,0,16331,16697
2015,28,10,26,0,0,0,0,26
2015,29,10,0,0,0,1,158,159
2015,30,10,571,3196,0,1897,669800,675464
2015,31,10,802,2301,0,2001,111606,116710
2015,1,11,17629,83224,0,64965,79448,245266
2015,2,11,51318,59220,0,39159,26160,175857
2015,3,11,0,0,0,0,0,0
2015,4,11,25,250,0,0,10,285
2015,5,11,410,547,0,10,3367,4334
2015,6,11,1116,9915,0,2635,22529,36195
2015,7,11,2548,2646,0,70,39880,45144
2015,8,11,5498,2948,0,580,132625,141651
2015,9,11,750,246,0,142,40,1178
2015,10,11,12,1543,0,6,51,1612
2015,11,11,0,0,0,0,0,0
2016,15,10,6,20,0,40,260,326
2016,16,10,250,1921,0,2061,18821,23053
2016,17,10,88,319,0,70,38,515
2016,18,10,2051,3802,0,4658,0,10511
2016,19,10,36877,53060,0,59736,7053,156726
2016,20,10,8273,5641,0,2466,1256,17636
2016,21,10,13341,62041,0,100366,13850,189598
2016,22,10,2252,19847,0,59332,13930,95361
2016,23,10,69,76,0,0,200,345
2016,24,10,126,105,0,0,0,231
2016,25,10,5,59,0,0,0,64
2016,26,10,316,527,0,0,0,843
2016,27,10,654,426,0,0,0,1080
2016,28,10,3753,5488,0,5308,1131,15680
2016,29,10,45292,102208,0,268229,29876,445605
2016,30,10,10726,6580,0,2080,8,19394
2016,31,10,57941,79284,0,38091,106330,281646
2016,1,11,1790,2301,0,3,83405,87499
2016,2,11,12631,5705,0,597,1118,20051
2016,3,11,4,724,0,0,0,728
2016,4,11,6,33,0,0,0,39
2016,5,11,0,0,0,0,0,0
2016,6,11,0,0,0,0,0,0
2016,7,11,0,0,0,0,0,0
2016,8,11,12,0,0,0,0,12
2016,9,11,0,0,0,0,0,0
2016,10,11,0,0,0,0,0,0
2016,11,11,0,0,0,0,0,0
2017,15,10,69,36,0,108,2200,2413
2017,16,10,36,57,0,37,2363,2493
2017,17,10,243,1213,0,18,153,1627
2017,18,10,314,5248,0,3333,1988,10883
2017,19,10,0,0,0,0,0,0
2017,20,10,474,411,0,0,146,1031
2017,21,10,0,2,0,0,0,2
2017,22,10,0,0,0,0,0,0
2017,23,10,3396,12990,0,13619,21302,51307
2017,24,10,12168,16199,0,97225,292438,418030
2017,25,10,18945,28276,0,2548,109,49878
2017,26,10,647,405,0,3659,27104,31815
2017,27,10,0,9,0,21,40,70
2017,28,10,0,0,0,1914,0,1914
2017,29,10,3394,18029,0,111457,18980,151860
2017,30,10,0,0,0,0,0,0
2017,31,10,58537,165743,0,77851,14825,316956
2017,1,11,13,390,0,0,9933,10336
2017,2,11,92,18,0,1,1503,1614
2017,3,11,11,16,0,3,53790,53820
2017,4,11,0,4,0,4,350,358
2017,5,11,8,0,0,0,0,8
2017,6,11,5,0,0,0,0,0
2017,7,11,3644,5093,0,8970,93273,110980
2017,8,11,0,0,0,0,0,0
2017,9,11,0,0,0,0,0,0
2017,10,11,0,0,0,0,0,0
2017,11,11,0,0,0,0,0,0
2018,16,10,1457,113,0,576,5,2151
2018,17,10,1900,431,0,185,13,2529
2018,18,10,0,994,0,0,42,1036
2018,19,10,1652,1553,0,118,0,3323
2018,20,10,3,334,0,137,0,474
2018,21,10,5646,6890,0,991,0,13527
2018,22,10,8311,3143,0,2323,11,13788
2018,23,10,1054078,7450,0,8983,2544,1073055
2018,24,10,164,1072,0,1140,563,2939
